Title,Author,Description,Category
The Great Gatsby,F. Scott Fitzgerald,"A novel set in the Jazz Age that explores themes of wealth, love, and the American Dream.",Fiction
1984,George Orwell,A dystopian novel about a totalitarian society under constant surveillance.,Dystopian
To Kill a Mockingbird,Harper Lee,A novel about racial injustice and moral growth in the Deep South.,Classic
Pride and Prejudice,Jane Austen,A classic romance novel that critiques the social norms of 19th-century England.,Romance
Moby-Dick,Herman Melville,An epic tale of obsession and revenge against a white whale.,Adventure
The Catcher in the Rye,J.D. Salinger,A novel about teenage alienation and the challenges of growing up.,Classic
War and Peace,Leo Tolstoy,A historical novel that explores Russian society during the Napoleonic Wars.,Historical Fiction
Crime and Punishment,Fyodor Dostoevsky,"A psychological novel about guilt, redemption, and morality.",Classic
Brave New World,Aldous Huxley,A dystopian novel envisioning a technologically advanced future society.,Dystopian
The Lord of the Rings,J.R.R. Tolkien,A fantasy epic following the journey to destroy the One Ring.,Fantasy
Harry Potter and the Sorcerer's Stone,J.K. Rowling,The first book in the Harry Potter series about a young wizard's adventures.,Fantasy
The Hobbit,J.R.R. Tolkien,A fantasy adventure about Bilbo Baggins' journey to reclaim a lost kingdom.,Fantasy
Fahrenheit 451,Ray Bradbury,A dystopian novel about a future where books are banned and burned.,Dystopian
The Alchemist,Paulo Coelho,A novel about a shepherd's journey to discover his personal legend.,Philosophical Fiction
The Da Vinci Code,Dan Brown,A thriller involving secret societies and historical mysteries.,Thriller
Dracula,Bram Stoker,A gothic horror novel about Count Dracula's attempt to move to England.,Horror
Frankenstein,Mary Shelley,A novel about a scientist who creates a living being with unintended consequences.,Horror
The Picture of Dorian Gray,Oscar Wilde,"A novel about vanity and corruption, where a portrait ages instead of its subject.",Gothic Fiction
The Odyssey,Homer,An ancient Greek epic poem about Odysseus' journey home from Troy.,Mythology
The Iliad,Homer,An ancient Greek epic about the Trojan War.,Mythology
Les Misérables,Victor Hugo,"A novel about justice, redemption, and revolution in 19th-century France.",Historical Fiction
The Count of Monte Cristo,Alexandre Dumas,"A novel about betrayal, revenge, and justice.",Adventure
Jane Eyre,Charlotte Brontë,A novel about an orphaned girl’s journey to independence and love.,Classic
Wuthering Heights,Emily Brontë,A novel about love and revenge set on the Yorkshire moors.,Classic
Great Expectations,Charles Dickens,A coming-of-age novel about personal growth and societal expectations.,Classic
Little Women,Louisa May Alcott,A novel following the lives of four sisters during the Civil War era.,Classic
The Scarlet Letter,Nathaniel Hawthorne,"A novel about sin, guilt, and redemption in Puritan New England.",Classic
Animal Farm,George Orwell,A satirical novella that allegorizes the Russian Revolution.,Political Satire
The Shining,Stephen King,A horror novel about a haunted hotel and its sinister influence.,Horror
